Rank,City_country,Attribute,Value
252,"Dresden, Germany",Food,94.43
252,"Dresden, Germany",Cigarettes 20 Pack,5.8
252,"Dresden, Germany",Public Transport,36.35
252,"Dresden, Germany",Petrol 50L ,107.5
252,"Dresden, Germany",Utility bills ,222.25
252,"Dresden, Germany",Internet 60mbps ,27.92
252,"Dresden, Germany",Gym monthly ,55.7
252,"Dresden, Germany",Cinema (1 ticket),8.43
252,"Dresden, Germany",Levi 501 Jeans,94.84
252,"Dresden, Germany",Nike runners,90.89
253,"Aberdeen, United Kingdom",Food,101.27
253,"Aberdeen, United Kingdom",Cigarettes 20 Pack,8
253,"Aberdeen, United Kingdom",Public Transport,85
253,"Aberdeen, United Kingdom",Petrol 50L ,63.5
253,"Aberdeen, United Kingdom",Utility bills ,117.1
253,"Aberdeen, United Kingdom",Internet 60mbps ,60.25
253,"Aberdeen, United Kingdom",Gym monthly ,35.42
253,"Aberdeen, United Kingdom",Cinema (1 ticket),12
253,"Aberdeen, United Kingdom",Levi 501 Jeans,56.8
253,"Aberdeen, United Kingdom",Nike runners,79.58
254,"Birmingham, United Kingdom",Food,100.96
254,"Birmingham, United Kingdom",Cigarettes 20 Pack,11.12
254,"Birmingham, United Kingdom",Public Transport,91.72
254,"Birmingham, United Kingdom",Petrol 50L ,71.5
254,"Birmingham, United Kingdom",Utility bills ,119.98
254,"Birmingham, United Kingdom",Internet 60mbps ,59.52
254,"Birmingham, United Kingdom",Gym monthly ,52.35
254,"Birmingham, United Kingdom",Cinema (1 ticket),11.12
254,"Birmingham, United Kingdom",Levi 501 Jeans,53.31
254,"Birmingham, United Kingdom",Nike runners,78.89
255,"Shiraz, Iran",Food,82.07
255,"Shiraz, Iran",Cigarettes 20 Pack,6.59
255,"Shiraz, Iran",Public Transport,41.2
255,"Shiraz, Iran",Petrol 50L ,28.5
255,"Shiraz, Iran",Utility bills ,121.51
255,"Shiraz, Iran",Internet 60mbps ,90.49
255,"Shiraz, Iran",Gym monthly ,110.32
255,"Shiraz, Iran",Cinema (1 ticket),10.99
255,"Shiraz, Iran",Levi 501 Jeans,63.46
255,"Shiraz, Iran",Nike runners,98.21
256,"Taipei, Taiwan",Food,111.72
256,"Taipei, Taiwan",Cigarettes 20 Pack,8
256,"Taipei, Taiwan",Public Transport,60
256,"Taipei, Taiwan",Petrol 50L ,64
256,"Taipei, Taiwan",Utility bills ,280.06
256,"Taipei, Taiwan",Internet 60mbps ,72
256,"Taipei, Taiwan",Gym monthly ,40.33
256,"Taipei, Taiwan",Cinema (1 ticket),12.25
256,"Taipei, Taiwan",Levi 501 Jeans,53.5
256,"Taipei, Taiwan",Nike runners,86.29
257,Data Unavailable for this city,No data for this city,0
258,"Kingston, Jamaica",Food,93.57
258,"Kingston, Jamaica",Cigarettes 20 Pack,8
258,"Kingston, Jamaica",Public Transport,40
258,"Kingston, Jamaica",Petrol 50L ,51
258,"Kingston, Jamaica",Utility bills ,220.3
258,"Kingston, Jamaica",Internet 60mbps ,66.22
258,"Kingston, Jamaica",Gym monthly ,29.17
258,"Kingston, Jamaica",Cinema (1 ticket),12
258,"Kingston, Jamaica",Levi 501 Jeans,41.75
258,"Kingston, Jamaica",Nike runners,76.25
259,"Dundee, United Kingdom",Food,102.23
259,"Dundee, United Kingdom",Cigarettes 20 Pack,7
259,"Dundee, United Kingdom",Public Transport,77.5
259,"Dundee, United Kingdom",Petrol 50L ,58
259,"Dundee, United Kingdom",Utility bills ,128.62
259,"Dundee, United Kingdom",Internet 60mbps ,57.5
259,"Dundee, United Kingdom",Gym monthly ,27.22
259,"Dundee, United Kingdom",Cinema (1 ticket),12
259,"Dundee, United Kingdom",Levi 501 Jeans,40
259,"Dundee, United Kingdom",Nike runners,71.77
260,"Bilbao, Spain",Food,75.11
260,"Bilbao, Spain",Cigarettes 20 Pack,14.76
260,"Bilbao, Spain",Public Transport,90.91
260,"Bilbao, Spain",Petrol 50L ,97.5
260,"Bilbao, Spain",Utility bills ,233.67
260,"Bilbao, Spain",Internet 60mbps ,34.85
260,"Bilbao, Spain",Gym monthly ,35.42
260,"Bilbao, Spain",Cinema (1 ticket),11.92
260,"Bilbao, Spain",Levi 501 Jeans,82.41
260,"Bilbao, Spain",Nike runners,86.1
261,"Ramallah, Palestine",Food,86.45
261,"Ramallah, Palestine",Cigarettes 20 Pack,15.16
261,"Ramallah, Palestine",Public Transport,67.65
261,"Ramallah, Palestine",Petrol 50L ,97
261,"Ramallah, Palestine",Utility bills ,138.82
261,"Ramallah, Palestine",Internet 60mbps ,44.28
261,"Ramallah, Palestine",Gym monthly ,39.93
261,"Ramallah, Palestine",Cinema (1 ticket),10.46
261,"Ramallah, Palestine",Levi 501 Jeans,67.65
261,"Ramallah, Palestine",Nike runners,80.39
262,Data Unavailable for this city,No data for this city,0
263,"Port of Spain, Trinidad And Tobago",Food,92.76
263,"Port of Spain, Trinidad And Tobago",Cigarettes 20 Pack,3.6
263,"Port of Spain, Trinidad And Tobago",Public Transport,40.98
263,"Port of Spain, Trinidad And Tobago",Petrol 50L ,50
263,"Port of Spain, Trinidad And Tobago",Utility bills ,58.6
263,"Port of Spain, Trinidad And Tobago",Internet 60mbps ,24.86
263,"Port of Spain, Trinidad And Tobago",Gym monthly ,32.32
263,"Port of Spain, Trinidad And Tobago",Cinema (1 ticket),9.16
263,"Port of Spain, Trinidad And Tobago",Levi 501 Jeans,64.38
263,"Port of Spain, Trinidad And Tobago",Nike runners,68.73
264,Data Unavailable for this city,No data for this city,0
265,"Palermo, Italy",Food,103.45
265,"Palermo, Italy",Cigarettes 20 Pack,8
265,"Palermo, Italy",Public Transport,40
265,"Palermo, Italy",Petrol 50L ,51.5
265,"Palermo, Italy",Utility bills ,173.45
265,"Palermo, Italy",Internet 60mbps ,73.91
265,"Palermo, Italy",Gym monthly ,43.42
265,"Palermo, Italy",Cinema (1 ticket),12
265,"Palermo, Italy",Levi 501 Jeans,48.81
265,"Palermo, Italy",Nike runners,79.9
266,"Abu Dhabi, United Arab Emirates",Food,83.89
266,"Abu Dhabi, United Arab Emirates",Cigarettes 20 Pack,5.27
266,"Abu Dhabi, United Arab Emirates",Public Transport,42.15
266,"Abu Dhabi, United Arab Emirates",Petrol 50L ,102.5
266,"Abu Dhabi, United Arab Emirates",Utility bills ,170.85
266,"Abu Dhabi, United Arab Emirates",Internet 60mbps ,40.15
266,"Abu Dhabi, United Arab Emirates",Gym monthly ,45.78
266,"Abu Dhabi, United Arab Emirates",Cinema (1 ticket),9.48
266,"Abu Dhabi, United Arab Emirates",Levi 501 Jeans,77.21
266,"Abu Dhabi, United Arab Emirates",Nike runners,82.67
267,Data Unavailable for this city,No data for this city,0
268,"Male, Maldives",Food,82.6
268,"Male, Maldives",Cigarettes 20 Pack,14.76
268,"Male, Maldives",Public Transport,85.57
268,"Male, Maldives",Petrol 50L ,95.5
268,"Male, Maldives",Utility bills ,214.48
268,"Male, Maldives",Internet 60mbps ,37.18
268,"Male, Maldives",Gym monthly ,34.64
268,"Male, Maldives",Cinema (1 ticket),12.3
268,"Male, Maldives",Levi 501 Jeans,68.33
268,"Male, Maldives",Nike runners,83.73
269,"Nicosia, Cyprus",Food,78.35
269,"Nicosia, Cyprus",Cigarettes 20 Pack,5.99
269,"Nicosia, Cyprus",Public Transport,21.78
269,"Nicosia, Cyprus",Petrol 50L ,53.5
269,"Nicosia, Cyprus",Utility bills ,148.74
269,"Nicosia, Cyprus",Internet 60mbps ,100.67
269,"Nicosia, Cyprus",Gym monthly ,63.6
269,"Nicosia, Cyprus",Cinema (1 ticket),11.98
269,"Nicosia, Cyprus",Levi 501 Jeans,51.61
269,"Nicosia, Cyprus",Nike runners,86.65
270,"Riga, Latvia",Food,100.95
270,"Riga, Latvia",Cigarettes 20 Pack,8
270,"Riga, Latvia",Public Transport,50
270,"Riga, Latvia",Petrol 50L ,53.5
270,"Riga, Latvia",Utility bills ,235.41
270,"Riga, Latvia",Internet 60mbps ,75.88
270,"Riga, Latvia",Gym monthly ,24.25
270,"Riga, Latvia",Cinema (1 ticket),12
270,"Riga, Latvia",Levi 501 Jeans,42.43
270,"Riga, Latvia",Nike runners,109.25
271,"Prague, Czech Republic",Food,81.11
271,"Prague, Czech Republic",Cigarettes 20 Pack,5.8
271,"Prague, Czech Republic",Public Transport,38.46
271,"Prague, Czech Republic",Petrol 50L ,114
271,"Prague, Czech Republic",Utility bills ,202.73
271,"Prague, Czech Republic",Internet 60mbps ,31.26
271,"Prague, Czech Republic",Gym monthly ,36.88
271,"Prague, Czech Republic",Cinema (1 ticket),8.43
271,"Prague, Czech Republic",Levi 501 Jeans,76.4
271,"Prague, Czech Republic",Nike runners,98.45
272,"Havana, Cuba",Food,103.71
272,"Havana, Cuba",Cigarettes 20 Pack,14.82
272,"Havana, Cuba",Public Transport,51.14
272,"Havana, Cuba",Petrol 50L ,73.5
272,"Havana, Cuba",Utility bills ,132.35
272,"Havana, Cuba",Internet 60mbps ,66.05
272,"Havana, Cuba",Gym monthly ,46.69
272,"Havana, Cuba",Cinema (1 ticket),11.12
272,"Havana, Cuba",Levi 501 Jeans,50.65
272,"Havana, Cuba",Nike runners,70.92
273,"Madrid, Spain",Food,77.37
273,"Madrid, Spain",Cigarettes 20 Pack,5.27
273,"Madrid, Spain",Public Transport,42.15
273,"Madrid, Spain",Petrol 50L ,77
273,"Madrid, Spain",Utility bills ,164.68
273,"Madrid, Spain",Internet 60mbps ,31.45
273,"Madrid, Spain",Gym monthly ,59.71
273,"Madrid, Spain",Cinema (1 ticket),10.54
273,"Madrid, Spain",Levi 501 Jeans,82.54
273,"Madrid, Spain",Nike runners,86.84
274,"Palma de Mallorca, Spain",Food,93.61
274,"Palma de Mallorca, Spain",Cigarettes 20 Pack,6
274,"Palma de Mallorca, Spain",Public Transport,60.11
274,"Palma de Mallorca, Spain",Petrol 50L ,57
274,"Palma de Mallorca, Spain",Utility bills ,193.04
274,"Palma de Mallorca, Spain",Internet 60mbps ,65.4
274,"Palma de Mallorca, Spain",Gym monthly ,35.83
274,"Palma de Mallorca, Spain",Cinema (1 ticket),12
274,"Palma de Mallorca, Spain",Levi 501 Jeans,44
274,"Palma de Mallorca, Spain",Nike runners,93.29
275,"Ljubljana, Slovenia",Food,143.44
275,"Ljubljana, Slovenia",Cigarettes 20 Pack,5.79
275,"Ljubljana, Slovenia",Public Transport,80
275,"Ljubljana, Slovenia",Petrol 50L ,65.5
275,"Ljubljana, Slovenia",Utility bills ,278.36
275,"Ljubljana, Slovenia",Internet 60mbps ,65.01
275,"Ljubljana, Slovenia",Gym monthly ,51.62
275,"Ljubljana, Slovenia",Cinema (1 ticket),10
275,"Ljubljana, Slovenia",Levi 501 Jeans,83.4
275,"Ljubljana, Slovenia",Nike runners,136.43
276,"Riyadh, Saudi Arabia",Food,105.24
276,"Riyadh, Saudi Arabia",Cigarettes 20 Pack,10.67
276,"Riyadh, Saudi Arabia",Public Transport,81.53
276,"Riyadh, Saudi Arabia",Petrol 50L ,71
276,"Riyadh, Saudi Arabia",Utility bills ,155.17
276,"Riyadh, Saudi Arabia",Internet 60mbps ,61.41
276,"Riyadh, Saudi Arabia",Gym monthly ,41.03
276,"Riyadh, Saudi Arabia",Cinema (1 ticket),13.34
276,"Riyadh, Saudi Arabia",Levi 501 Jeans,51.65
276,"Riyadh, Saudi Arabia",Nike runners,76.8
277,"Heraklion, Greece",Food,86.33
277,"Heraklion, Greece",Cigarettes 20 Pack,6.5
277,"Heraklion, Greece",Public Transport,70
277,"Heraklion, Greece",Petrol 50L ,57.5
277,"Heraklion, Greece",Utility bills ,190.71
277,"Heraklion, Greece",Internet 60mbps ,77.88
277,"Heraklion, Greece",Gym monthly ,36.25
277,"Heraklion, Greece",Cinema (1 ticket),12
277,"Heraklion, Greece",Levi 501 Jeans,47.14
277,"Heraklion, Greece",Nike runners,82.22
278,Data Unavailable for this city,No data for this city,0
279,"Catania, Italy",Food,80.55
279,"Catania, Italy",Cigarettes 20 Pack,4.85
279,"Catania, Italy",Public Transport,31.61
279,"Catania, Italy",Petrol 50L ,113.5
279,"Catania, Italy",Utility bills ,265.12
279,"Catania, Italy",Internet 60mbps ,32.2
279,"Catania, Italy",Gym monthly ,39.75
279,"Catania, Italy",Cinema (1 ticket),8.43
279,"Catania, Italy",Levi 501 Jeans,78.73
279,"Catania, Italy",Nike runners,82.86
280,"Larissa, Greece",Food,90.77
280,"Larissa, Greece",Cigarettes 20 Pack,7.26
280,"Larissa, Greece",Public Transport,79.5
280,"Larissa, Greece",Petrol 50L ,59
280,"Larissa, Greece",Utility bills ,276.5
280,"Larissa, Greece",Internet 60mbps ,55.57
280,"Larissa, Greece",Gym monthly ,28.33
280,"Larissa, Greece",Cinema (1 ticket),10
280,"Larissa, Greece",Levi 501 Jeans,38.33
280,"Larissa, Greece",Nike runners,82.5
281,"Tartu, Estonia",Food,96.73
281,"Tartu, Estonia",Cigarettes 20 Pack,7.8
281,"Tartu, Estonia",Public Transport,36
281,"Tartu, Estonia",Petrol 50L ,53.5
281,"Tartu, Estonia",Utility bills ,224.22
281,"Tartu, Estonia",Internet 60mbps ,66.7
281,"Tartu, Estonia",Gym monthly ,31.25
281,"Tartu, Estonia",Cinema (1 ticket),10.5
281,"Tartu, Estonia",Levi 501 Jeans,37.95
281,"Tartu, Estonia",Nike runners,58
282,"Jeddah (Jiddah), Saudi Arabia",Food,102.43
282,"Jeddah (Jiddah), Saudi Arabia",Cigarettes 20 Pack,6
282,"Jeddah (Jiddah), Saudi Arabia",Public Transport,35
282,"Jeddah (Jiddah), Saudi Arabia",Petrol 50L ,57
282,"Jeddah (Jiddah), Saudi Arabia",Utility bills ,194.69
282,"Jeddah (Jiddah), Saudi Arabia",Internet 60mbps ,60.83
282,"Jeddah (Jiddah), Saudi Arabia",Gym monthly ,26.2
282,"Jeddah (Jiddah), Saudi Arabia",Cinema (1 ticket),12.75
282,"Jeddah (Jiddah), Saudi Arabia",Levi 501 Jeans,43
282,"Jeddah (Jiddah), Saudi Arabia",Nike runners,81
283,"Dubrovnik, Croatia",Food,78.15
283,"Dubrovnik, Croatia",Cigarettes 20 Pack,5.27
283,"Dubrovnik, Croatia",Public Transport,57.48
283,"Dubrovnik, Croatia",Petrol 50L ,100.5
283,"Dubrovnik, Croatia",Utility bills ,166.08
283,"Dubrovnik, Croatia",Internet 60mbps ,38.1
283,"Dubrovnik, Croatia",Gym monthly ,43.57
283,"Dubrovnik, Croatia",Cinema (1 ticket),9.48
283,"Dubrovnik, Croatia",Levi 501 Jeans,77.06
283,"Dubrovnik, Croatia",Nike runners,79.28
284,"Vilnius, Lithuania",Food,116.33
284,"Vilnius, Lithuania",Cigarettes 20 Pack,8
284,"Vilnius, Lithuania",Public Transport,65
284,"Vilnius, Lithuania",Petrol 50L ,71.5
284,"Vilnius, Lithuania",Utility bills ,155.07
284,"Vilnius, Lithuania",Internet 60mbps ,75.06
284,"Vilnius, Lithuania",Gym monthly ,29.5
284,"Vilnius, Lithuania",Cinema (1 ticket),10
284,"Vilnius, Lithuania",Levi 501 Jeans,37.25
284,"Vilnius, Lithuania",Nike runners,73.12
285,"Lisbon, Portugal",Food,108.08
285,"Lisbon, Portugal",Cigarettes 20 Pack,6.5
285,"Lisbon, Portugal",Public Transport,115
285,"Lisbon, Portugal",Petrol 50L ,52.5
285,"Lisbon, Portugal",Utility bills ,169.21
285,"Lisbon, Portugal",Internet 60mbps ,69.67
285,"Lisbon, Portugal",Gym monthly ,30
285,"Lisbon, Portugal",Cinema (1 ticket),9.75
285,"Lisbon, Portugal",Levi 501 Jeans,33.79
285,"Lisbon, Portugal",Nike runners,62.12
286,"Valencia, Spain",Food,111.14
286,"Valencia, Spain",Cigarettes 20 Pack,7.12
286,"Valencia, Spain",Public Transport,32.5
286,"Valencia, Spain",Petrol 50L ,59
286,"Valencia, Spain",Utility bills ,182.5
286,"Valencia, Spain",Internet 60mbps ,70.87
286,"Valencia, Spain",Gym monthly ,30
286,"Valencia, Spain",Cinema (1 ticket),12
286,"Valencia, Spain",Levi 501 Jeans,47.6
286,"Valencia, Spain",Nike runners,82
287,"Pamplona, Spain",Food,72.17
287,"Pamplona, Spain",Cigarettes 20 Pack,6.05
287,"Pamplona, Spain",Public Transport,58.99
287,"Pamplona, Spain",Petrol 50L ,45
287,"Pamplona, Spain",Utility bills ,83.58
287,"Pamplona, Spain",Internet 60mbps ,46.57
287,"Pamplona, Spain",Gym monthly ,49.61
287,"Pamplona, Spain",Cinema (1 ticket),7.74
287,"Pamplona, Spain",Levi 501 Jeans,65.44
287,"Pamplona, Spain",Nike runners,105.08
288,"Manama, Bahrain",Food,104.53
288,"Manama, Bahrain",Cigarettes 20 Pack,7.35
288,"Manama, Bahrain",Public Transport,45
288,"Manama, Bahrain",Petrol 50L ,61.5
288,"Manama, Bahrain",Utility bills ,200.74
288,"Manama, Bahrain",Internet 60mbps ,64.07
288,"Manama, Bahrain",Gym monthly ,35.44
288,"Manama, Bahrain",Cinema (1 ticket),12
288,"Manama, Bahrain",Levi 501 Jeans,50.22
288,"Manama, Bahrain",Nike runners,89.14
289,"Zagreb, Croatia",Food,91.64
289,"Zagreb, Croatia",Cigarettes 20 Pack,7.75
289,"Zagreb, Croatia",Public Transport,41.5
289,"Zagreb, Croatia",Petrol 50L ,55
289,"Zagreb, Croatia",Utility bills ,193.29
289,"Zagreb, Croatia",Internet 60mbps ,57.5
289,"Zagreb, Croatia",Gym monthly ,38.75
289,"Zagreb, Croatia",Cinema (1 ticket),11
289,"Zagreb, Croatia",Levi 501 Jeans,47.38
289,"Zagreb, Croatia",Nike runners,70.62
290,"Panama City, Panama",Food,92.63
290,"Panama City, Panama",Cigarettes 20 Pack,13.34
290,"Panama City, Panama",Public Transport,88.94
290,"Panama City, Panama",Petrol 50L ,78
290,"Panama City, Panama",Utility bills ,168.08
290,"Panama City, Panama",Internet 60mbps ,67.17
290,"Panama City, Panama",Gym monthly ,31.76
290,"Panama City, Panama",Cinema (1 ticket),11.49
290,"Panama City, Panama",Levi 501 Jeans,43.94
290,"Panama City, Panama",Nike runners,80.74
291,"Oviedo, Spain",Food,95.35
291,"Oviedo, Spain",Cigarettes 20 Pack,10.67
291,"Oviedo, Spain",Public Transport,70.41
291,"Oviedo, Spain",Petrol 50L ,69.5
291,"Oviedo, Spain",Utility bills ,129.73
291,"Oviedo, Spain",Internet 60mbps ,59.7
291,"Oviedo, Spain",Gym monthly ,29.12
291,"Oviedo, Spain",Cinema (1 ticket),11.11
291,"Oviedo, Spain",Levi 501 Jeans,68.6
291,"Oviedo, Spain",Nike runners,79.77
292,Data Unavailable for this city,No data for this city,0
293,"Alicante, Spain",Food,96.77
293,"Alicante, Spain",Cigarettes 20 Pack,11.12
293,"Alicante, Spain",Public Transport,66.7
293,"Alicante, Spain",Petrol 50L ,70.5
293,"Alicante, Spain",Utility bills ,152.05
293,"Alicante, Spain",Internet 60mbps ,57.06
293,"Alicante, Spain",Gym monthly ,31.31
293,"Alicante, Spain",Cinema (1 ticket),11.12
293,"Alicante, Spain",Levi 501 Jeans,44.62
293,"Alicante, Spain",Nike runners,66.6
294,Data Unavailable for this city,No data for this city,0
295,"Muscat, Oman",Food,86.43
295,"Muscat, Oman",Cigarettes 20 Pack,4.61
295,"Muscat, Oman",Public Transport,46.05
295,"Muscat, Oman",Petrol 50L ,95.5
295,"Muscat, Oman",Utility bills ,138.75
295,"Muscat, Oman",Internet 60mbps ,40.14
295,"Muscat, Oman",Gym monthly ,46.74
295,"Muscat, Oman",Cinema (1 ticket),8.96
295,"Muscat, Oman",Levi 501 Jeans,97.68
295,"Muscat, Oman",Nike runners,120.53
296,Data Unavailable for this city,No data for this city,0
297,"Granada, Spain",Food,77.38
297,"Granada, Spain",Cigarettes 20 Pack,4.85
297,"Granada, Spain",Public Transport,31.61
297,"Granada, Spain",Petrol 50L ,112
297,"Granada, Spain",Utility bills ,247.74
297,"Granada, Spain",Internet 60mbps ,31.24
297,"Granada, Spain",Gym monthly ,37.78
297,"Granada, Spain",Cinema (1 ticket),8.43
297,"Granada, Spain",Levi 501 Jeans,74.99
297,"Granada, Spain",Nike runners,77.9
298,Data Unavailable for this city,No data for this city,0
299,"Paphos, Cyprus",Food,83.04
299,"Paphos, Cyprus",Cigarettes 20 Pack,5.27
299,"Paphos, Cyprus",Public Transport,42.15
299,"Paphos, Cyprus",Petrol 50L ,88
299,"Paphos, Cyprus",Utility bills ,209.02
299,"Paphos, Cyprus",Internet 60mbps ,37.86
299,"Paphos, Cyprus",Gym monthly ,69.96
299,"Paphos, Cyprus",Cinema (1 ticket),9.48
299,"Paphos, Cyprus",Levi 501 Jeans,87.7
299,"Paphos, Cyprus",Nike runners,87.81
300,"Santo Domingo, Dominican Republic",Food,32.51
300,"Santo Domingo, Dominican Republic",Cigarettes 20 Pack,1.07
300,"Santo Domingo, Dominican Republic",Public Transport,18.21
300,"Santo Domingo, Dominican Republic",Petrol 50L ,32.5
300,"Santo Domingo, Dominican Republic",Utility bills ,26.75
300,"Santo Domingo, Dominican Republic",Internet 60mbps ,31.37
300,"Santo Domingo, Dominican Republic",Gym monthly ,26.61
300,"Santo Domingo, Dominican Republic",Cinema (1 ticket),3.93
300,"Santo Domingo, Dominican Republic",Levi 501 Jeans,8.8
300,"Santo Domingo, Dominican Republic",Nike runners,18.87
301,"Kaohsiung, Taiwan",Food,77.72
301,"Kaohsiung, Taiwan",Cigarettes 20 Pack,4.91
301,"Kaohsiung, Taiwan",Public Transport,32.73
301,"Kaohsiung, Taiwan",Petrol 50L ,49.5
301,"Kaohsiung, Taiwan",Utility bills ,91.44
301,"Kaohsiung, Taiwan",Internet 60mbps ,21.26
301,"Kaohsiung, Taiwan",Gym monthly ,31.86
301,"Kaohsiung, Taiwan",Cinema (1 ticket),9.66
301,"Kaohsiung, Taiwan",Levi 501 Jeans,64.73
301,"Kaohsiung, Taiwan",Nike runners,73.49
302,"Malaga, Spain",Food,77.54
302,"Malaga, Spain",Cigarettes 20 Pack,4.74
302,"Malaga, Spain",Public Transport,38.99
302,"Malaga, Spain",Petrol 50L ,81.5
302,"Malaga, Spain",Utility bills ,253.55
302,"Malaga, Spain",Internet 60mbps ,34.72
302,"Malaga, Spain",Gym monthly ,44.77
302,"Malaga, Spain",Cinema (1 ticket),8.43
302,"Malaga, Spain",Levi 501 Jeans,76.49
302,"Malaga, Spain",Nike runners,93.96
303,"Vladivostok, Russia",Food,81.32
303,"Vladivostok, Russia",Cigarettes 20 Pack,5.43
303,"Vladivostok, Russia",Public Transport,31.61
303,"Vladivostok, Russia",Petrol 50L ,85
303,"Vladivostok, Russia",Utility bills ,141.51
303,"Vladivostok, Russia",Internet 60mbps ,34.19
303,"Vladivostok, Russia",Gym monthly ,38.74
303,"Vladivostok, Russia",Cinema (1 ticket),7.9
303,"Vladivostok, Russia",Levi 501 Jeans,68.49
303,"Vladivostok, Russia",Nike runners,74.2
304,"Ad Dammam, Saudi Arabia",Food,63.77
304,"Ad Dammam, Saudi Arabia",Cigarettes 20 Pack,5.97
304,"Ad Dammam, Saudi Arabia",Public Transport,37.13
304,"Ad Dammam, Saudi Arabia",Petrol 50L ,25.5
304,"Ad Dammam, Saudi Arabia",Utility bills ,169.42
304,"Ad Dammam, Saudi Arabia",Internet 60mbps ,47.66
304,"Ad Dammam, Saudi Arabia",Gym monthly ,86.94
304,"Ad Dammam, Saudi Arabia",Cinema (1 ticket),9.28
304,"Ad Dammam, Saudi Arabia",Levi 501 Jeans,44.1
304,"Ad Dammam, Saudi Arabia",Nike runners,90.85
305,"Amman, Jordan",Food,81.97
305,"Amman, Jordan",Cigarettes 20 Pack,5.32
305,"Amman, Jordan",Public Transport,31.61
305,"Amman, Jordan",Petrol 50L ,103
305,"Amman, Jordan",Utility bills ,305.91
305,"Amman, Jordan",Internet 60mbps ,27.23
305,"Amman, Jordan",Gym monthly ,54.35
305,"Amman, Jordan",Cinema (1 ticket),9.48
305,"Amman, Jordan",Levi 501 Jeans,86.89
305,"Amman, Jordan",Nike runners,87.31
306,"Brno, Czech Republic",Food,70.89
306,"Brno, Czech Republic",Cigarettes 20 Pack,5.8
306,"Brno, Czech Republic",Public Transport,27.5
306,"Brno, Czech Republic",Petrol 50L ,53.5
306,"Brno, Czech Republic",Utility bills ,98.85
306,"Brno, Czech Republic",Internet 60mbps ,46.98
306,"Brno, Czech Republic",Gym monthly ,39.36
306,"Brno, Czech Republic",Cinema (1 ticket),6
306,"Brno, Czech Republic",Levi 501 Jeans,51.43
306,"Brno, Czech Republic",Nike runners,75.25
307,"Porto, Portugal",Food,64.26
307,"Porto, Portugal",Cigarettes 20 Pack,3.52
307,"Porto, Portugal",Public Transport,49.34
307,"Porto, Portugal",Petrol 50L ,68
307,"Porto, Portugal",Utility bills ,75.22
307,"Porto, Portugal",Internet 60mbps ,36.88
307,"Porto, Portugal",Gym monthly ,59.1
307,"Porto, Portugal",Cinema (1 ticket),11.28
307,"Porto, Portugal",Levi 501 Jeans,55.9
307,"Porto, Portugal",Nike runners,103.46
308,Data Unavailable for this city,No data for this city,0
309,"Olomouc, Czech Republic",Food,89.36
309,"Olomouc, Czech Republic",Cigarettes 20 Pack,5.8
309,"Olomouc, Czech Republic",Public Transport,42.15
309,"Olomouc, Czech Republic",Petrol 50L ,80.5
309,"Olomouc, Czech Republic",Utility bills ,205.03
309,"Olomouc, Czech Republic",Internet 60mbps ,36.87
309,"Olomouc, Czech Republic",Gym monthly ,59.97
309,"Olomouc, Czech Republic",Cinema (1 ticket),12.64
309,"Olomouc, Czech Republic",Levi 501 Jeans,94.84
309,"Olomouc, Czech Republic",Nike runners,88.51
310,"Phnom Penh, Cambodia",Food,71.02
310,"Phnom Penh, Cambodia",Cigarettes 20 Pack,5.58
310,"Phnom Penh, Cambodia",Public Transport,42.15
310,"Phnom Penh, Cambodia",Petrol 50L ,106
310,"Phnom Penh, Cambodia",Utility bills ,130.77
310,"Phnom Penh, Cambodia",Internet 60mbps ,35.58
310,"Phnom Penh, Cambodia",Gym monthly ,39.89
310,"Phnom Penh, Cambodia",Cinema (1 ticket),7.9
310,"Phnom Penh, Cambodia",Levi 501 Jeans,80.35
310,"Phnom Penh, Cambodia",Nike runners,72.44
311,"Plzen, Czech Republic",Food,72.72
311,"Plzen, Czech Republic",Cigarettes 20 Pack,5.27
311,"Plzen, Czech Republic",Public Transport,36.88
311,"Plzen, Czech Republic",Petrol 50L ,85.5
311,"Plzen, Czech Republic",Utility bills ,136.92
311,"Plzen, Czech Republic",Internet 60mbps ,32.08
311,"Plzen, Czech Republic",Gym monthly ,37.14
311,"Plzen, Czech Republic",Cinema (1 ticket),8.14
311,"Plzen, Czech Republic",Levi 501 Jeans,73.06
311,"Plzen, Czech Republic",Nike runners,73.01
312,"Ostrava, Czech Republic",Food,68.75
312,"Ostrava, Czech Republic",Cigarettes 20 Pack,4.75
312,"Ostrava, Czech Republic",Public Transport,40.48
312,"Ostrava, Czech Republic",Petrol 50L ,81.5
312,"Ostrava, Czech Republic",Utility bills ,115.32
312,"Ostrava, Czech Republic",Internet 60mbps ,25.6
312,"Ostrava, Czech Republic",Gym monthly ,37.23
312,"Ostrava, Czech Republic",Cinema (1 ticket),6
312,"Ostrava, Czech Republic",Levi 501 Jeans,75.91
312,"Ostrava, Czech Republic",Nike runners,68.25
313,"Shanghai, China",Food,64.66
313,"Shanghai, China",Cigarettes 20 Pack,4.32
313,"Shanghai, China",Public Transport,37.44
313,"Shanghai, China",Petrol 50L ,60.5
313,"Shanghai, China",Utility bills ,79.55
313,"Shanghai, China",Internet 60mbps ,15.46
313,"Shanghai, China",Gym monthly ,57.33
313,"Shanghai, China",Cinema (1 ticket),7.63
