Rank,City_country,Attribute,Value
20,"Trondheim, Norway",Internet 60mbps ,37.29
20,"Trondheim, Norway",Gym monthly ,40.68
20,"Trondheim, Norway",Cinema (1 ticket),17.01
20,"Trondheim, Norway",Levi 501 Jeans,106.09
20,"Trondheim, Norway",Nike runners,115.76
21,"Tromso, Norway",Food,128.76
21,"Tromso, Norway",Cigarettes 20 Pack,7.5
21,"Tromso, Norway",Public Transport,57
21,"Tromso, Norway",Petrol 50L ,50.5
21,"Tromso, Norway",Utility bills ,237.34
21,"Tromso, Norway",Internet 60mbps ,64.62
21,"Tromso, Norway",Gym monthly ,24.75
21,"Tromso, Norway",Cinema (1 ticket),12
21,"Tromso, Norway",Levi 501 Jeans,56.88
21,"Tromso, Norway",Nike runners,79.29
22,"Saint Helier, Jersey",Food,125.86
22,"Saint Helier, Jersey",Cigarettes 20 Pack,5.69
22,"Saint Helier, Jersey",Public Transport,0
22,"Saint Helier, Jersey",Petrol 50L ,86.5
22,"Saint Helier, Jersey",Utility bills ,301.9
22,"Saint Helier, Jersey",Internet 60mbps ,56.49
22,"Saint Helier, Jersey",Gym monthly ,49.66
22,"Saint Helier, Jersey",Cinema (1 ticket),12.64
22,"Saint Helier, Jersey",Levi 501 Jeans,93.78
22,"Saint Helier, Jersey",Nike runners,123.81
23,"Singapore, Singapore",Food,139.53
23,"Singapore, Singapore",Cigarettes 20 Pack,9.59
23,"Singapore, Singapore",Public Transport,90
23,"Singapore, Singapore",Petrol 50L ,76
23,"Singapore, Singapore",Utility bills ,201.54
23,"Singapore, Singapore",Internet 60mbps ,65.62
23,"Singapore, Singapore",Gym monthly ,105
23,"Singapore, Singapore",Cinema (1 ticket),12
23,"Singapore, Singapore",Levi 501 Jeans,48.87
23,"Singapore, Singapore",Nike runners,94.33
24,"Reykjavik, Iceland",Food,140.02
24,"Reykjavik, Iceland",Cigarettes 20 Pack,10.99
24,"Reykjavik, Iceland",Public Transport,100
24,"Reykjavik, Iceland",Petrol 50L ,70
24,"Reykjavik, Iceland",Utility bills ,221.73
24,"Reykjavik, Iceland",Internet 60mbps ,71
24,"Reykjavik, Iceland",Gym monthly ,57.49
24,"Reykjavik, Iceland",Cinema (1 ticket),15
24,"Reykjavik, Iceland",Levi 501 Jeans,53.53
24,"Reykjavik, Iceland",Nike runners,91.16
25,"Odense, Denmark",Food,109.78
25,"Odense, Denmark",Cigarettes 20 Pack,4.47
25,"Odense, Denmark",Public Transport,74.45
25,"Odense, Denmark",Petrol 50L ,62
25,"Odense, Denmark",Utility bills ,171.22
25,"Odense, Denmark",Internet 60mbps ,32.85
25,"Odense, Denmark",Gym monthly ,73.85
25,"Odense, Denmark",Cinema (1 ticket),13.4
25,"Odense, Denmark",Levi 501 Jeans,46.26
